Title,Park Place to Veteran's at Essa,Park Place to Veteran's at Essa,Park Place to Veteran's at Essa,Park Place to Veteran's at Essa,Park Place to Veteran's at Essa,Park Place to Veteran's at Essa,Park Place to Veteran's at Essa,Park Place to Veteran's at Essa,Park Place to Veteran's at Essa,Park Place to Veteran's at Essa,Park Place to Veteran's at Essa,Park Place to Veteran's at Essa,Park Place to Veteran's at Essa,Park Place to Veteran's at Essa,Park Place to Veteran's at Essa,Park Place to Veteran's at Essa,Park Place to Veteran's at Essa,Park Place to Veteran's at Essa,Park Place to Veteran's at Essa,Park Place to Veteran's at Essa,Park Place to Veteran's at Essa,Park Place to Veteran's at Essa,Park Place to Veteran's at Essa
Half-Hour,06:30 - 06:59,07:00 - 07:29,07:30 - 07:59,08:00 - 08:29,08:30 - 08:59,09:00 - 09:29,09:30 - 09:59,10:00 - 10:29,10:30 - 10:59,11:00 - 11:29,11:30 - 11:59,12:00 - 12:29,12:30 - 12:59,13:00 - 13:29,13:30 - 13:59,14:00 - 14:29,14:30 - 14:59,15:00 - 15:29,15:30 - 15:59,16:00 - 16:29,16:30 - 16:59,17:00 - 17:29,17:30 - 17:59
400 N Observed Runtime-25%,5.68,5.35,6.8,5.8,5.7,6.27,5.78,6.12,6.16,5.78,6.02,5.96,6.19,6.35,5.87,6.14,5.97,6.52,5.91,6.93,6.59,6.8,5.97
400 N Observed Runtime-50%,6.28,5.65,7.13,6.1,6.37,6.55,5.97,6.4,7.1,6.32,6.88,6.6,6.78,6.9,6.27,6.77,6.95,7.02,6.35,7.76,6.9,7.1,6.62
400 N Observed Runtime-80%,7.35,6.38,7.68,7.02,7.22,7.5,6.18,6.6,7.72,6.68,7.83,7.03,7.28,7.92,7.23,7.5,7.87,7.85,7.17,8.42,7.98,8.03,7.42
400 N Observed Runtime-90%,7.53,6.48,7.97,7.62,7.32,7.53,6.25,7.02,8.07,6.93,7.97,7.77,8.08,8.13,7.67,7.85,8.92,8.08,7.57,8.47,8.57,8.18,8.03
400 N Scheduled Runtime-10%,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8
400 N Scheduled Runtime-50%,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8
400 N Scheduled Runtime-90%,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8
Title,Veteran's at Essa to Rose at Highway 400,Veteran's at Essa to Rose at Highway 400,Veteran's at Essa to Rose at Highway 400,Veteran's at Essa to Rose at Highway 400,Veteran's at Essa to Rose at Highway 400,Veteran's at Essa to Rose at Highway 400,Veteran's at Essa to Rose at Highway 400,Veteran's at Essa to Rose at Highway 400,Veteran's at Essa to Rose at Highway 400,Veteran's at Essa to Rose at Highway 400,Veteran's at Essa to Rose at Highway 400,Veteran's at Essa to Rose at Highway 400,Veteran's at Essa to Rose at Highway 400,Veteran's at Essa to Rose at Highway 400,Veteran's at Essa to Rose at Highway 400,Veteran's at Essa to Rose at Highway 400,Veteran's at Essa to Rose at Highway 400,Veteran's at Essa to Rose at Highway 400,Veteran's at Essa to Rose at Highway 400,Veteran's at Essa to Rose at Highway 400,Veteran's at Essa to Rose at Highway 400,Veteran's at Essa to Rose at Highway 400,Veteran's at Essa to Rose at Highway 400
Half-Hour,06:30 - 06:59,07:00 - 07:29,07:30 - 07:59,08:00 - 08:29,08:30 - 08:59,09:00 - 09:29,09:30 - 09:59,10:00 - 10:29,10:30 - 10:59,11:00 - 11:29,11:30 - 11:59,12:00 - 12:29,12:30 - 12:59,13:00 - 13:29,13:30 - 13:59,14:00 - 14:29,14:30 - 14:59,15:00 - 15:29,15:30 - 15:59,16:00 - 16:29,16:30 - 16:59,17:00 - 17:29,17:30 - 17:59
400 N Observed Runtime-25%,7.87,8.23,8.36,7.84,8.29,8.06,8.14,7.15,7.8,7.93,8.47,7.78,7.73,8.5,7.55,8.29,8.14,8.53,8.24,8.28,8.63,8.68,8.38
400 N Observed Runtime-50%,8.42,8.51,9.02,8.03,8.82,8.73,8.33,8.58,8.48,8.37,9.03,8.43,8.43,8.8,8.03,8.73,8.73,9.21,8.52,9.73,9.43,9.58,8.7
400 N Observed Runtime-80%,9.07,9.8,9.5,8.72,9.93,9.13,9.58,9.27,9.05,8.93,9.47,9.38,9.02,9.13,8.72,9.38,9.52,10.38,10.22,10.43,10.75,10.47,10.4
400 N Observed Runtime-90%,9.17,9.95,9.77,9.43,10.97,9.42,10.13,9.45,9.25,9.08,10.68,9.93,9.27,9.35,10.37,9.72,9.9,11.05,10.63,11.12,10.92,12.33,11.4
400 N Scheduled Runtime-10%,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,10,10,10,10,10,10,10,10
400 N Scheduled Runtime-50%,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,10,10,10,10,10,10,10,10
400 N Scheduled Runtime-90%,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,10,10,10,10,10,10,10,10
Title,Rose at Highway 400 to Georgian at Govenors,Rose at Highway 400 to Georgian at Govenors,Rose at Highway 400 to Georgian at Govenors,Rose at Highway 400 to Georgian at Govenors,Rose at Highway 400 to Georgian at Govenors,Rose at Highway 400 to Georgian at Govenors,Rose at Highway 400 to Georgian at Govenors,Rose at Highway 400 to Georgian at Govenors,Rose at Highway 400 to Georgian at Govenors,Rose at Highway 400 to Georgian at Govenors,Rose at Highway 400 to Georgian at Govenors,Rose at Highway 400 to Georgian at Govenors,Rose at Highway 400 to Georgian at Govenors,Rose at Highway 400 to Georgian at Govenors,Rose at Highway 400 to Georgian at Govenors,Rose at Highway 400 to Georgian at Govenors,Rose at Highway 400 to Georgian at Govenors,Rose at Highway 400 to Georgian at Govenors,Rose at Highway 400 to Georgian at Govenors,Rose at Highway 400 to Georgian at Govenors,Rose at Highway 400 to Georgian at Govenors,Rose at Highway 400 to Georgian at Govenors,Rose at Highway 400 to Georgian at Govenors
Half-Hour,06:30 - 06:59,07:00 - 07:29,07:30 - 07:59,08:00 - 08:29,08:30 - 08:59,09:00 - 09:29,09:30 - 09:59,10:00 - 10:29,10:30 - 10:59,11:00 - 11:29,11:30 - 11:59,12:00 - 12:29,12:30 - 12:59,13:00 - 13:29,13:30 - 13:59,14:00 - 14:29,14:30 - 14:59,15:00 - 15:29,15:30 - 15:59,16:00 - 16:29,16:30 - 16:59,17:00 - 17:29,17:30 - 17:59
400 N Observed Runtime-25%,3.24,3.95,3.28,3.54,3.33,3.54,3.83,3.74,3.16,2.97,3.03,3.14,3.39,3.7,3.73,4.08,2.86,2.9,2.81,3.1,3.48,3.67,3.88
400 N Observed Runtime-50%,3.94,4.73,3.97,4.09,3.5,3.69,4.08,4,4.17,3.52,3.23,3.43,3.59,4.02,4.28,4.28,4.19,3.23,2.98,3.19,3.7,3.88,4.14
400 N Observed Runtime-80%,4.62,5.83,4.37,4.55,3.78,3.98,4.35,4.42,4.72,4.43,3.68,3.98,3.95,4.32,4.52,4.62,4.88,3.62,3.45,3.48,3.92,4.18,4.52
400 N Observed Runtime-90%,4.68,6.38,4.62,4.62,4.4,4.03,4.47,4.62,4.78,4.68,4.65,4.25,4.62,4.33,4.63,4.82,5.12,4.35,3.6,3.85,4.1,4.3,4.68
400 N Scheduled Runtime-10%,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
400 N Scheduled Runtime-50%,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
400 N Scheduled Runtime-90%,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Title,Georgian at Govenors to RVH Main Entrance,Georgian at Govenors to RVH Main Entrance,Georgian at Govenors to RVH Main Entrance,Georgian at Govenors to RVH Main Entrance,Georgian at Govenors to RVH Main Entrance,Georgian at Govenors to RVH Main Entrance,Georgian at Govenors to RVH Main Entrance,Georgian at Govenors to RVH Main Entrance,Georgian at Govenors to RVH Main Entrance,Georgian at Govenors to RVH Main Entrance,Georgian at Govenors to RVH Main Entrance,Georgian at Govenors to RVH Main Entrance,Georgian at Govenors to RVH Main Entrance,Georgian at Govenors to RVH Main Entrance,Georgian at Govenors to RVH Main Entrance,Georgian at Govenors to RVH Main Entrance,Georgian at Govenors to RVH Main Entrance,Georgian at Govenors to RVH Main Entrance,Georgian at Govenors to RVH Main Entrance,Georgian at Govenors to RVH Main Entrance,Georgian at Govenors to RVH Main Entrance,Georgian at Govenors to RVH Main Entrance,Georgian at Govenors to RVH Main Entrance
Half-Hour,06:30 - 06:59,07:00 - 07:29,07:30 - 07:59,08:00 - 08:29,08:30 - 08:59,09:00 - 09:29,09:30 - 09:59,10:00 - 10:29,10:30 - 10:59,11:00 - 11:29,11:30 - 11:59,12:00 - 12:29,12:30 - 12:59,13:00 - 13:29,13:30 - 13:59,14:00 - 14:29,14:30 - 14:59,15:00 - 15:29,15:30 - 15:59,16:00 - 16:29,16:30 - 16:59,17:00 - 17:29,17:30 - 17:59
400 N Observed Runtime-25%,2.08,1.91,1.93,1.93,1.98,1.94,1.94,2.03,2.22,1.94,2.16,2.16,2,2,2.01,1.98,2,2.03,2.03,2,1.9,1.88,2
400 N Observed Runtime-50%,2.27,2.03,2.07,2.13,2.2,2.17,2.19,2.3,2.48,2.17,2.33,2.28,2.22,2.25,2.22,2.28,2.13,2.12,2.23,2.08,2.1,2,2.1
400 N Observed Runtime-80%,2.53,2.23,2.35,2.45,2.65,2.32,2.42,2.55,2.72,2.83,2.5,2.65,2.58,2.45,2.78,2.65,2.4,2.43,2.48,2.35,2.57,2.17,2.4
400 N Observed Runtime-90%,2.65,2.28,2.38,2.55,2.75,2.38,2.47,3.02,2.75,2.92,2.62,2.77,3.07,2.55,3.4,2.67,2.53,2.55,2.55,2.53,3.08,2.22,3.03
400 N Scheduled Runtime-10%,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
400 N Scheduled Runtime-50%,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
400 N Scheduled Runtime-90%,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
